PC_por_R$,Valor_economico_Bronze_50PC_R$,PC-T_ARPMAU_R$,ARPMAU_bruto_R$,Contribuicao_por_MAU_R$,MAU_break_even_fixo_75k
5,10.0,4.4032,6.0972,5.053282003308271,14841.839412662735
8,6.25,2.7520000000000002,4.446000000000001,3.603544542857144,20812.841109086086
10,5.0,2.2016,3.8956,3.1202987227067673,24036.160209346785
12,4.166666666666667,1.834666666666667,3.528666666666667,2.798134842606517,26803.568883812633
15,3.3333333333333335,1.4677333333333333,3.1617333333333333,2.475970962506266,30291.14684127084
20,2.5,1.1008,2.7948000000000004,2.153807082406016,34822.060254448406
