bonus_ceiling,final_money_supply,supply_per_player,median_balance,p10_balance,p90_balance,pct_below_bronze_stake,actual_grants,nominal_grants,grant_emission_rate,arena_sink,league_rake
none,26404614.000000015,2640.4614000000015,2938.666666666668,555.9000000000001,4149.333333333337,0.0512,41600000.0,41600000,1.0,7904315.99999998,9291070.0
300,3763442.000000001,376.3442000000001,336.0000000000003,10.666666666667362,757.3333333333337,0.1861,16889168.0,41600000,0.40598961538461537,7274775.999999995,7850950.0
400,4546242.666666668,454.6242666666668,432.66666666666663,13.0,848.0000000000001,0.1509,18194204.999999993,41600000,0.43736069711538444,7410542.333333329,8237420.0
500,5352796.000000002,535.2796000000002,532.0000000000009,16.00000000000096,938.0666666666677,0.1326,19360268.66666667,41600000,0.46539107371794886,7488822.666666649,8518650.0
600,6136617.666666669,613.6617666666668,623.6666666666673,20.0,1028.6666666666654,0.1157,20554301.666666664,41600000,0.4940937900641025,7758014.000000008,8659670.0
800,7787147.999999999,778.7147999999999,809.6666666666667,147.9000000000001,1218.0000000000002,0.089,22496881.666666668,41600000,0.5407904246794872,7739653.666666661,8970080.0
